Date,Open,High,Low,Close,Volume
2023-05-30,175.82,177.839,175.435,176.16,56326734.28202
2023-05-31,176.185,178.196,175.624,176.11,100270297.27247
2023-06-01,176.557,178.961,175.793,178.931,69347903.627049
2023-06-02,179.866,180.611,178.106,179.786,62398302.893594
2023-06-05,181.456,183.761,176.89,178.425,122736021.65674
2023-06-06,178.807,178.961,176.289,178.057,65268225.258394
2023-06-07,177.292,180.046,176.18,176.676,62345666.297886
2023-06-08,176.75,179.676,176.319,179.407,50539989.860524
2023-06-09,180.332,181.057,179.467,179.796,49216568.682098
2023-06-12,180.105,182.707,179.806,182.608,55109498.160775
2023-06-13,181.624,182.966,181.266,182.131,55284759.565743
2023-06-14,182.191,183.204,180.85,182.766,57834916.976831
2023-06-15,182.776,185.319,182.598,184.814,65856803.408176
2023-06-16,185.529,185.787,183.085,183.731,101911793.53417
2023-06-20,183.224,184.902,183.224,183.82,50121508.895805
2023-06-21,183.711,184.217,181.416,182.776,49836279.096564
2023-06-22,182.558,185.842,182.489,185.797,51577107.331574
2023-06-23,184.357,186.354,183.82,185.479,53460894.177196
2023-06-26,186.117,186.84,184.039,184.079,48400003.961896
2023-06-27,184.694,187.178,184.475,186.85,51059295.400019
2023-06-28,186.721,188.679,186.394,188.032,51548396.644183
2023-06-29,187.865,188.847,187.725,188.37,46647376.828048
2023-06-30,190.397,193.229,190.03,192.721,85764916.432294
2023-07-03,192.534,192.633,190.525,191.221,31661869.475512
2023-07-05,190.334,191.739,189.395,190.1,47224039.327966
2023-07-06,188.62,190.785,187.983,190.575,45448364.93791
2023-07-07,190.179,191.43,189.015,189.454,47118094.818156
2023-07-10,188.042,188.769,185.832,187.397,60310120.22991
2023-07-11,187.943,188.082,185.399,186.87,46940070.641089
2023-07-12,188.46,190.466,187.257,188.55,61143566.544433
2023-07-13,189.275,189.96,188.56,189.315,41610002.886004
2023-07-14,189.005,189.95,188.41,189.464,41885680.237161
2023-07-17,190.665,193.071,190.575,192.741,50847244.338029
2023-07-18,192.106,193.081,191.177,192.484,48666833.397017
2023-07-19,191.858,196.956,191.41,193.846,81028555.820294
2023-07-20,193.836,195.206,191.256,191.888,59966945.689224
2023-07-21,192.851,193.716,190,190.705,72417523.587632
2023-07-24,192.166,193.656,191.014,191.51,45799713.056816
2023-07-25,192.086,193.19,191.675,192.375,37524585.600588
2023-07-26,192.425,194.381,192.076,193.249,47779217.626347
2023-07-27,194.76,195.931,191.311,191.976,47767453.95411
2023-07-28,193.417,195.362,192.891,194.571,48604098.844127
2023-07-31,194.799,195.226,194.004,195.186,39075474.008667
2023-08-01,194.972,195.466,194.024,194.346,35509850.402808
2023-08-02,193.786,193.926,190.616,191.341,50715565.28549
2023-08-03,190.339,191.132,189.464,189.94,62646266.973444
2023-08-04,184.327,186.175,180.751,180.82,116707586.51003
2023-08-07,180.959,181.951,176.21,177.7,98207810.905491
2023-08-08,178.535,179.111,176.438,178.643,68262113.056292
2023-08-09,179.706,179.766,175.87,177.045,60769403.664896
2023-08-10,178.326,179.587,176.457,176.825,55040912.972471
2023-08-11,176.417,177.711,175.651,176.885,52302947.818077
2023-08-14,177.064,178.775,176.402,178.547,43899118.681202
2023-08-15,177.969,178.567,176.149,176.547,43845813.301977
2023-08-16,176.229,177.631,175.602,175.671,47205179.934536
2023-08-17,176.239,176.602,172.597,173.115,66400931.057962
2023-08-18,171.423,174.208,171.085,173.601,61485172.790635
2023-08-21,174.178,175.233,172.85,174.945,46548860.593815
2023-08-22,176.159,176.775,175.353,176.328,42299593.45206
2023-08-23,177.611,180.626,177.417,180.197,52992538.544383
2023-08-24,179.754,180.181,175.113,175.483,55226960.048802
2023-08-25,176.477,178.238,174.925,177.701,51712865.692934
2023-08-28,179.174,179.67,177.636,179.273,44044931.016011
2023-08-29,178.78,183.959,178.586,183.183,53275173.446835
2023-08-30,183.999,186.894,183.799,186.694,61125077.535289
2023-08-31,186.884,188.157,186.525,186.914,61105557.156476
2023-09-01,188.521,188.952,187.321,188.496,46000693.861146
2023-09-05,187.321,189.012,186.655,188.735,45511728.524494
2023-09-06,187.44,187.89,180.546,181.978,82174167.058038
2023-09-07,174.288,177.303,172.657,176.656,113064417.21382
2023-09-08,177.442,179.321,176.885,177.273,65937757.025585
2023-09-11,179.154,179.382,176.437,178.447,59254719.488448
